motif_code,title,level,expected_parent_code,level_1_category,description,line_number
A939.1,River bursts from well in pursuit.,2,A939,Mythological,River bursts from well in pursuit.,2075
A1339.1,Origin of blindness. Jewish: Neuman; S. Am. Indian (Toba): Métraux MAFLS XL 145.,2,A1339,Mythological,Origin of blindness. Jewish: Neuman; S. Am. Indian (Toba): Métraux MAFLS XL 145.,2988
A1651.0.1,Attitude to untouchables. India: Thompson-Balys.,3,A1651.0,Mythological,Attitude to untouchables. India: Thompson-Balys.,3566
A1651.1,Origin of castes from instructions received in dream. India: Thompson-Balys.,2,A1651,Mythological,Origin of castes from instructions received in dream. India: Thompson-Balys.,3567
A1651.2,Caste determined by what kind of tree one catches while crossing a river. India: Thompson-Balys.,2,A1651,Mythological,Caste determined by what kind of tree one catches while crossing a river. India: Thompson-Balys.,3568
B31.1,"Roc. A giant bird which carries off men in its claws.—Irish myth: Cross; German: Grimm Nos. 51, 161; Penzer I 103ff., II 219; Chauvin VI 3 No. 181 n. 3; Burton I 154 n., V 122f., VI 16n, 48ff., S I...",2,B31,Animals,"Roc. A giant bird which carries off men in its claws.—Irish myth: Cross; German: Grimm Nos. 51, 161; Penzer I 103ff., II 219; Chauvin VI 3 No. 181 n. 3; Burton I 154 n., V 122f., VI 16n, 48ff., S III 186, S VII 249.—Hawaii: Beckwith Myth 45.—N. A. Indian: Thompson Tales 318 n. 151.",6553
B31.2,"The Bird Gam. Throws sand in a stream and makes a lake. Appears at turn of century. Also carries men. Leaps into the sea and sleeps.—Fb ""Fugl Gam"", ""Gam"" IV 173b.—Kristensen Danske Sagn II (1893) 1...",2,B31,Animals,"The Bird Gam. Throws sand in a stream and makes a lake. Appears at turn of century. Also carries men. Leaps into the sea and sleeps.—Fb ""Fugl Gam"", ""Gam"" IV 173b.—Kristensen Danske Sagn II (1893) 131ff., (1928) 94.—Icel.: *Boberg.",6557
B31.3,"Giant ravens. They sit on mountain; when they fly, avalanche comes. —Swiss: Jegerlehner Oberwallis 323 No. 139.",2,B31,Animals,"Giant ravens. They sit on mountain; when they fly, avalanche comes. —Swiss: Jegerlehner Oberwallis 323 No. 139.",6558
B31.4,Giant bat. *Chauvin VII n. 9.,2,B31,Animals,Giant bat. *Chauvin VII n. 9.,6560
B31.5,Simorg: giant bird.—Chauvin VII 12; Malone PMLA XLIII 404.,2,B31,Animals,Simorg: giant bird.—Chauvin VII 12; Malone PMLA XLIII 404.,6561
B31.6,"Other giant birds. Penzer I 104, VI 123 n.—Chinese: Giles Strange",2,B31,Animals,"Other giant birds. Penzer I 104, VI 123 n.—Chinese: Giles Strange",6562
B872.1,Giant eagle. India: Thompson-Balys.,2,B872,Animals,Giant eagle. India: Thompson-Balys.,8858
B872.2,"Giant gull. Eskimo (Greenland): Rink 455, (Cumberland Sound): Boas BAM XV 195.",2,B872,Animals,"Giant gull. Eskimo (Greenland): Rink 455, (Cumberland Sound): Boas BAM XV 195.",8859
B872.3,Giant falcon. Eskimo (Greenland): Rasmussen III 207.,2,B872,Animals,Giant falcon. Eskimo (Greenland): Rasmussen III 207.,8860
B872.4,Giant auk. Eskimo (Greenland): Rink 430.,2,B872,Animals,Giant auk. Eskimo (Greenland): Rink 430.,8861
D605.7,", D610.) Irish myth: *Cross; Welsh: MacCulloch Celtic 110; India: Thompson- Balys; N. A. Indian: Thompson Tales 282 n. 44.",2,D605,Magic,", D610.) Irish myth: *Cross; Welsh: MacCulloch Celtic 110; India: Thompson- Balys; N. A. Indian: Thompson Tales 282 n. 44.",19547
F325.1,Fairies kidnap boy when he breaks tabu by going outside mansion under earth before 12 years. India: Thompson-Balys.,2,F325,Marvels,Fairies kidnap boy when he breaks tabu by going outside mansion under earth before 12 years. India: Thompson-Balys.,21447
J253.10,Great love of brothers for sister. India: Thompson-Balys.,2,J253,The Wise and the Foolish,Great love of brothers for sister. India: Thompson-Balys.,41241
Q531.5,") Italian Novella: *Rotunda; S. A. Indian (Tucuna): Nimuendaju BBAE CXLIII (3) 724, (Huamachuco): Métraux RMLP XXXIII 151.",2,Q531,Rewards and Punishments,") Italian Novella: *Rotunda; S. A. Indian (Tucuna): Nimuendaju BBAE CXLIII (3) 724, (Huamachuco): Métraux RMLP XXXIII 151.",42225
S73.1,Fratricide. Krappe Revue des études Anciennes XXXV (1933) 146ff.; Irish myth: *Cross; Icelandic: *Boberg; Greek: Grote I 219; Jewish: Neuman; Buddhist myth: Malalasekera II 13; Tonga: Gifford 83; M...,2,S73,Unnatural Cruelty,"Fratricide. Krappe Revue des études Anciennes XXXV (1933) 146ff.; Irish myth: *Cross; Icelandic: *Boberg; Greek: Grote I 219; Jewish: Neuman; Buddhist myth: Malalasekera II 13; Tonga: Gifford 83; Maori: Clark 157, Beckwith 157.",44082
S73.2,Person banishes brother (sister). Irish myth: Cross.,2,S73,Unnatural Cruelty,Person banishes brother (sister). Irish myth: Cross.,44088
S73.3,Man blinds brother. (Cf. S165.) Irish myth: *Cross.,2,S73,Unnatural Cruelty,Man blinds brother. (Cf. S165.) Irish myth: *Cross.,44089
X927.1,) (Cf. E783.) Type 852; BP II 514; Missouri French: Carrière.,2,X927,Humor,) (Cf. E783.) Type 852; BP II 514; Missouri French: Carrière.,48670
