Level 1,Level 2 Tag,Definition,Typical Narrative Context
Family & Kinship,parent_child,Vertical parent–child caregiving and authority relationship (including adoptive parents).,"Stepmother abuse; king expels prince; mother saves child."
,sibling,Horizontal sibling relationship by blood or sworn kinship; often includes rivalry.,"Brothers split the household; sister protects younger sister; Cain and Abel."
,spouse,A legally or customarily recognized long-term partner (contractual).,"Searching for a missing wife; queen betrays king."
,extended_family,Non-nuclear relatives/clan members (uncles/aunts/cousins/grandparents).,"Uncle as guardian or villain; grandmother offers guidance."
Romance,lover,Lovers/partners driven by passion or courtship outside marriage (including affairs).,"Romeo and Juliet; knight courts a noble lady; first love."
Hierarchy,ruler_subject,Political rule based on state/territory/law (sovereign–subject).,"Minister remonstrates; king delivers judgment; knight swears fealty."
,master_servant,Master–servant/employer relationship based on personal dependence, ownership, or payment.,"Landlord and hired hand; genie and Aladdin; lord and butler."
,mentor_student,Mentor–student relationship based on transmission of knowledge/skills/wisdom.,"Wizard trains apprentice; martial-arts master passes down techniques; sage points the way."
,commander_subordinate,Command chain within an organization (army/gang).,"General orders soldiers; bandit chief directs henchmen."
Social & Alliance,friend,Close friends based on personal affection with no direct instrumental motive.,"Childhood friend; trusted travel companion."
,ally,Allies/partners cooperate toward shared goals (interest-based), temporarily or long-term.,"Two rival kingdoms ally to slay a dragon; temporary party forms to seek treasure."
,colleague,Peers in the same profession or fellow disciples (non-blood).,"Guards on the same post; competing senior disciples in one sect."
Adversarial,enemy,Mortal enemies driven by hatred/destruction; goal is to eliminate the other.,"Hero vs demon lord; vengeance for a slain father; good vs evil."
,rival,Rivals/romantic rivals driven by competition (honor/prize/lover), not necessarily lethal.,"Bragging contest rivals; two knights courting the same person."
Neutral,stranger,No prior social connection.,"Passersby; chance-encounter monster; inn guest."
